Date ,Day of the Week,Clipper Tags,Fare App Activations,Onboard Count,Bicycles,Wheelchairs,Notes About Day
6/29/2017,Thursday,-,-,3000,-,-,Public Preview Rohnert Park to San Rafael
7/1/2017,Saturday,-,-,1380,-,-,Public Preview Marin County Fair
7/4/2017,Tuesday,-,-,1365,-,-,Public Preview Marin County Fair
7/7/2017,Friday,-,-,1151,-,-,VIP Preview
7/8/2017,Saturday,-,-,2885,-,-,Public Preview
7/9/2017,Sunday,-,-,3077,-,-,Public Preview
7/11/2017,Tuesday,-,-,713,-,-,VIP Preview
7/13/2017,Thursday,-,-,3524,-,-,Public Preview
7/15/2017,Saturday,-,-,3269,-,-,Public Preview
7/16/2017,Sunday,-,-,3035,-,-,Public Preview
7/18/2017,Tuesday,-,-,678,-,-,VIP Preview
7/19/2017,Wednesday,-,-,4018,-,-,Public Preview
7/20/2017,Thursday,-,-,1103,-,-,VIP Preview
7/22/2017,Saturday,-,-,3735,-,-,Public Preview
7/23/2018,Sunday,-,-,4278,-,-,Public Preview
8/25/2017,Friday,-,-,2561,-,-,First day of service/Free Service
8/26/2017,Saturday,1358,308,1932,-,-,N/A
8/27/2017,Sunday,1549,415,2021,-,-,N/A
8/28/2017,Monday,1501,212,2539,-,-,N/A
8/29/2017,Tuesday,1793,238,2627,49,0,N/A
8/30/2017,Wednesday,1934,280,2733,220,23,N/A
8/31/2017,Thursday,1990,286,2860,259,3,N/A
9/1/2017,Friday,1771,350,2651,252,20,N/A
9/2/2017,Saturday,1063,294,1926,40,5,N/A
9/3/2017,Sunday,1552,470,2416,37,8,N/A
9/4/2017,Monday,1492,528,2566,105,19,Holiday
9/5/2017,Tuesday,1542,176,1853,261,11,N/A
9/6/2017,Wednesday,1642,143,1854,257,4,N/A
9/7/2017,Thursday,1723,179,2122,265,5,N/A
9/8/2017,Friday,1869,338,2450,279,8,N/A
9/9/2017,Saturday,1111,354,2142,84,6,N/A
9/10/2017,Sunday,957,324,1505,45,6,N/A
9/11/2017,Monday,1722,215,2117,266,12,N/A
9/12/2017,Tuesday,1787,237,2161,274,24,N/A
9/13/2017,Wednesday,1776,194,2049,243,8,N/A
9/14/2017,Thursday,1965,224,2333,294,9,N/A
9/15/2017,Friday,1829,355,2427,248,11,N/A
9/16/2017,Saturday,1063,501,2038,71,11,N/A
9/17/2017,Sunday,923,386,1639,34,8,N/A
